Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,9.02e-14,1,9.59e+12,0.63878,0.53099,0.53291,2.94e-14,-13,0.25,0.63878,1.1086e+13,1,-4.3786e-13,0,1.4964e+12,0.63878,0.46901,0.46709,1,0.47,0.47,0,0
100,9.1129e-14,1,9.4525e+12,0.62976,0.52717,0.52906,2.94e-14,-13,0.25,0.62976,1.0973e+13,1,-4.2737e-13,0,1.5209e+12,0.62976,0.47283,0.47094,1,0.48,0.48,0,0
100,9.2055e-14,1,9.3179e+12,0.62065,0.5234,0.52527,2.94e-14,-13,0.25,0.62065,1.0863e+13,1,2.1152e-13,0,1.5452e+12,0.62065,0.4766,0.47473,1,0.49,0.49,0,0
100,9.2977e-14,1,9.186e+12,0.61144,0.51968,0.52153,2.94e-14,-13,0.25,0.61144,1.0755e+13,1,6.0544e-15,0,1.5694e+12,0.61144,0.48032,0.47847,1,0.5,0.5,0,0
100,9.3895e-14,1,9.0566e+12,0.60214,0.51601,0.51783,2.94e-14,-13,0.25,0.60214,1.065e+13,1,-6.0994e-13,0,1.5935e+12,0.60214,0.48399,0.48217,1,0.51,0.51,0,0
100,9.4811e-14,1,8.9298e+12,0.59275,0.51238,0.51418,2.94e-14,-13,0.25,0.59275,1.0547e+13,1,-3.6327e-14,0,1.6175e+12,0.59275,0.48762,0.48582,1,0.52,0.52,0,0
100,9.5725e-14,1,8.8053e+12,0.58327,0.5088,0.51058,2.94e-14,-13,0.25,0.58327,1.0447e+13,1,-3.0272e-14,0,1.6414e+12,0.58327,0.4912,0.48942,1,0.53,0.53,0,0
100,9.6636e-14,1,8.683e+12,0.5737,0.50525,0.50702,2.94e-14,-13,0.25,0.5737,1.0348e+13,1,1.8163e-14,0,1.6651e+12,0.5737,0.49475,0.49298,1,0.54,0.54,0,0
100,9.7545e-14,1,8.5629e+12,0.56404,0.50174,0.50349,2.94e-14,-13,0.25,0.56404,1.0252e+13,1,3.7487e-13,0,1.6888e+12,0.56404,0.49826,0.49651,1,0.55,0.55,0,0
100,9.8453e-14,1,8.4447e+12,0.55428,0.49827,0.5,2.94e-14,-13,0.25,0.55428,1.0157e+13,1,1.977e-13,0,1.7125e+12,0.55428,0.50173,0.5,1,0.56,0.56,0,0
100,9.9359e-14,1,8.3285e+12,0.54444,0.49483,0.49654,2.94e-14,-13,0.25,0.54444,1.0065e+13,1,2.0194e-13,0,1.736e+12,0.54444,0.50517,0.50346,1,0.57,0.57,0,0
100,1.0026e-13,1,8.2141e+12,0.5345,0.49142,0.49312,2.94e-14,-13,0.25,0.5345,9.9736e+12,1,-3.0272e-14,0,1.7595e+12,0.5345,0.50858,0.50688,1,0.58,0.58,0,0
100,1.0117e-13,1,8.1014e+12,0.52447,0.48804,0.48972,2.94e-14,-13,0.25,0.52447,9.8844e+12,1,-3.6656e-13,0,1.783e+12,0.52447,0.51196,0.51028,1,0.59,0.59,0,0
100,1.0207e-13,1,7.9903e+12,0.51436,0.48468,0.48635,2.94e-14,-13,0.25,0.51436,9.7968e+12,1,-1.6643e-13,0,1.8065e+12,0.51436,0.51532,0.51365,1,0.6,0.6,0,0
100,1.0298e-13,1,7.8807e+12,0.50415,0.48134,0.48301,2.94e-14,-13,0.25,0.50415,9.7106e+12,1,4.8435e-14,0,1.83e+12,0.50415,0.51866,0.51699,1,0.61,0.61,0,0
100,1.0389e-13,1,7.7725e+12,0.49385,0.47803,0.47968,2.94e-14,-13,0.25,0.49385,9.6259e+12,1,-3.7462e-13,0,1.8534e+12,0.49385,0.52197,0.52032,1,0.62,0.62,0,0
