"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14917,0.83464,1e-12,0.042523,0.67759,0.27989,1.4111e-05,0,0,2.1052e-06,0,0,1.1777e-05,0,0,2.2849e-07,0,0,0.25,0.00093163,0.52126,0.050564,76883,1,0.30461,0.30461,0.005,0.005
0.14891,0.8349,1e-12,0.042481,0.67763,0.27989,1.4111e-05,0,0,2.1015e-06,0,0,1.1781e-05,0,0,2.2853e-07,0,0,0.25,0.00092983,0.52133,0.050564,76800,1,0.30828,0.30828,0.005,0.005
0.14871,0.83509,1e-12,0.042449,0.67766,0.27989,1.4111e-05,0,0,2.0987e-06,0,0,1.1784e-05,0,0,2.2856e-07,0,0,0.25,0.00092849,0.52139,0.050565,76718,1,0.31195,0.31195,0.005,0.005
0.14858,0.83522,1e-12,0.042427,0.67768,0.27989,1.4111e-05,0,0,2.0968e-06,0,0,1.1786e-05,0,0,2.2858e-07,0,0,0.25,0.00092757,0.52143,0.050565,76635,1,0.31562,0.31562,0.005,0.005
0.14849,0.83531,1e-12,0.042412,0.67769,0.27989,1.4111e-05,0,0,2.0955e-06,0,0,1.1787e-05,0,0,2.286e-07,0,0,0.25,0.00092698,0.52145,0.050565,76552,1,0.31929,0.31929,0.005,0.005
0.14844,0.83536,1e-12,0.042403,0.6777,0.27989,1.4111e-05,0,0,2.0947e-06,0,0,1.1788e-05,0,0,2.286e-07,0,0,0.25,0.00092663,0.52147,0.050566,76469,1,0.32296,0.32296,0.005,0.005
0.14841,0.83539,1e-12,0.042398,0.67771,0.27989,1.4111e-05,0,0,2.0943e-06,0,0,1.1788e-05,0,0,2.2861e-07,0,0,0.25,0.00092643,0.52148,0.050566,76386,1,0.32663,0.32663,0.005,0.005
0.1484,0.8354,1e-12,0.042395,0.67771,0.2799,1.4111e-05,0,0,2.0941e-06,0,0,1.1788e-05,0,0,2.2861e-07,0,0,0.25,0.00092634,0.52148,0.050566,76303,1,0.3303,0.3303,0.005,0.005
0.14839,0.83541,1e-12,0.042393,0.67771,0.2799,1.4111e-05,0,0,2.094e-06,0,0,1.1788e-05,0,0,2.2861e-07,0,0,0.25,0.0009263,0.52149,0.050566,76220,1,0.33397,0.33397,0.005,0.005
0.14839,0.83541,1e-12,0.042392,0.67771,0.2799,1.4111e-05,0,0,2.0939e-06,0,0,1.1789e-05,0,0,2.2861e-07,0,0,0.25,0.00092628,0.52149,0.050566,76137,1,0.33764,0.33764,0.005,0.005
0.14839,0.83541,1e-12,0.042392,0.67771,0.2799,1.4111e-05,0,0,2.0939e-06,0,0,1.1789e-05,0,0,2.2862e-07,0,0,0.25,0.00092627,0.52149,0.050566,76054,1,0.34131,0.34131,0.005,0.005
