Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,1.47e-13,1,0,4.0434,-5.6004e-11,-5.6004e-11,2.94e-14,-13,0.25,4.0434,6.8027e+12,1,-3.6327e-14,0,6.8027e+12,4.0434,1,1,1,0.52,0.52,0,0
50,1.47e-13,1,0,3.9601,1.1394e-09,1.1394e-09,2.94e-14,-13,0.25,3.9601,6.8027e+12,1,-5.5746e-13,0,6.8027e+12,3.9601,1,1,1,0.53,0.53,0,0
50,1.47e-13,1,0,3.8767,-1.6976e-10,-1.6976e-10,2.94e-14,-13,0.25,3.8767,6.8027e+12,1,-4.1993e-12,0,6.8027e+12,3.8767,1,1,1,0.54,0.54,0,0
50,1.47e-13,1,0,3.7933,1.0992e-09,1.0992e-09,2.94e-14,-13,0.25,3.7933,6.8027e+12,1,-1.6058e-12,0,6.8027e+12,3.7933,1,1,1,0.55,0.55,0,0
50,1.47e-13,1,0,3.71,-5.2816e-11,-5.2816e-11,2.94e-14,-13,0.25,3.71,6.8027e+12,1,5.2719e-13,0,6.8027e+12,3.71,1,1,1,0.56,0.56,0,0
50,1.47e-13,1,0,3.6266,1.0532e-09,1.0532e-09,2.94e-14,-13,0.25,3.6266,6.8027e+12,1,-1.5755e-12,0,6.8027e+12,3.6266,1,1,1,0.57,0.57,0,0
50,1.47e-13,1,0,3.5432,5.0071e-11,2.4095e-10,2.94e-14,-13,0.25,3.5432,6.8027e+12,1,1.5513e-12,0,6.8027e+12,3.5432,1,1,1,0.58,0.58,0,0
50,1.47e-13,1,0,3.4599,-1.4081e-10,-1.4081e-10,2.94e-14,-13,0.25,3.4599,6.8027e+12,1,-2.6178e-12,0,6.8027e+12,3.4599,1,1,1,0.59,0.59,0,0
50,1.47e-13,1,0,3.3765,9.6907e-10,9.6907e-10,2.94e-14,-13,0.25,3.3765,6.8027e+12,1,-1.0302e-12,0,6.8027e+12,3.3765,1,1,1,0.6,0.6,0,0
50,1.47e-13,1,0,3.2931,-4.0381e-10,-4.0381e-10,2.94e-14,-13,0.25,3.2931,6.8027e+12,1,2.1572e-12,0,6.8027e+12,3.2931,1,1,1,0.61,0.61,0,0
