TimeStep,CellID,qw,qo
148625,1224,2.56227,1.43773
148650,1224,2.56282,1.43718
148675,1224,2.56337,1.43663
148700,1224,2.56392,1.43608
148725,1224,2.56448,1.43552
148750,1224,2.56503,1.43497
148775,1224,2.56558,1.43442
148800,1224,2.56613,1.43387
148825,1224,2.56668,1.43332
148850,1224,2.56723,1.43277
148875,1224,2.56777,1.43223
148900,1224,2.56832,1.43168
148925,1224,2.56887,1.43113
148950,1224,2.56942,1.43058
148975,1224,2.56997,1.43003
149000,1224,2.57051,1.42949
149025,1224,2.57106,1.42894
149050,1224,2.57161,1.42839
149075,1224,2.57215,1.42785
149100,1224,2.5727,1.4273
149125,1224,2.57324,1.42676
149150,1224,2.57379,1.42621
149175,1224,2.57433,1.42567
149200,1224,2.57487,1.42513
149225,1224,2.57542,1.42458
149250,1224,2.57596,1.42404
149275,1224,2.5765,1.4235
149300,1224,2.57705,1.42295
149325,1224,2.57759,1.42241
149350,1224,2.57813,1.42187
149375,1224,2.57867,1.42133
149400,1224,2.57921,1.42079
149425,1224,2.57975,1.42025
149450,1224,2.58029,1.41971
149475,1224,2.58083,1.41917
149500,1224,2.58137,1.41863
149525,1224,2.58191,1.41809
149550,1224,2.58245,1.41755
149575,1224,2.58299,1.41701
