Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.90227,1.165,0.21958,0.25666,0.25683,0.3,3.2622,3.2622,0.079082,0.078487,0,1,1.1083,1,-4.4081e-13,0,0.88248,3.2622,0.66426,0.66468,1,0.054,0.054,0.002,0
0.35,0.90442,1.165,0.219,0.25632,0.25649,0.3,3.2615,3.2615,0.080268,0.079677,0,1,1.1057,1,2.9318e-13,0,0.88023,3.2615,0.66341,0.66383,1,0.055,0.055,0.002,0
0.35,0.90657,1.165,0.21842,0.25598,0.25615,0.3,3.2607,3.2607,0.081446,0.080859,0,1,1.1031,1,-2.1684e-16,0,0.878,3.2607,0.66257,0.66299,1,0.056,0.056,0.002,0
0.35,0.90871,1.165,0.21785,0.25565,0.25581,0.3,3.2599,3.2599,0.082618,0.082034,0,1,1.1005,1,4.3827e-13,0,0.87579,3.2599,0.66174,0.66215,1,0.057,0.057,0.002,0
0.35,0.91083,1.165,0.21728,0.25531,0.25548,0.3,3.2592,3.2592,0.083782,0.083202,0,1,1.0979,1,1.4514e-13,0,0.8736,3.2592,0.66091,0.66132,1,0.058,0.058,0.002,0
0.35,0.91295,1.165,0.21671,0.25498,0.25514,0.3,3.2584,3.2584,0.084939,0.084362,0,1,1.0953,1,2.1684e-16,0,0.87142,3.2584,0.66008,0.66049,1,0.059,0.059,0.002,0
0.35,0.91507,1.165,0.21615,0.25465,0.25481,0.3,3.2576,3.2576,0.08609,0.085516,0,1,1.0928,1,1.157e-12,0,0.86925,3.2576,0.65926,0.65967,1,0.06,0.06,0.002,0
0.35,0.91717,1.165,0.21559,0.25432,0.25448,0.3,3.2569,3.2569,0.087234,0.086664,0,1,1.0903,1,1.4469e-13,0,0.8671,3.2569,0.65845,0.65885,1,0.061,0.061,0.002,0
0.35,0.91927,1.165,0.21504,0.25399,0.25416,0.3,3.2561,3.2561,0.088371,0.087804,0,1,1.0878,1,-1.439e-13,0,0.86497,3.2561,0.65764,0.65804,1,0.062,0.062,0.002,0
0.35,0.92136,1.165,0.21449,0.25367,0.25383,0.3,3.2553,3.2553,0.089502,0.088938,0,1,1.0854,1,-4.3018e-13,0,0.86285,3.2553,0.65683,0.65723,1,0.063,0.063,0.002,0
0.35,0.92344,1.165,0.21394,0.25334,0.2535,0.3,3.2546,3.2546,0.090626,0.090065,0,1,1.0829,1,-7.1763e-13,0,0.86075,3.2546,0.65603,0.65643,1,0.064,0.064,0.002,0
0.35,0.92551,1.165,0.2134,0.25302,0.25318,0.3,3.2538,3.2538,0.091744,0.091186,0,1,1.0805,1,1.4326e-13,0,0.85867,3.2538,0.65523,0.65563,1,0.065,0.065,0.002,0
0.35,0.92758,1.165,0.21286,0.2527,0.25286,0.3,3.253,3.253,0.092855,0.092301,0,1,1.0781,1,-1.4421e-13,0,0.85659,3.253,0.65444,0.65484,1,0.066,0.066,0.002,0
0.35,0.92964,1.165,0.21232,0.25238,0.25254,0.3,3.2522,3.2522,0.093961,0.093409,0,1,1.0757,1,2.8468e-13,0,0.85454,3.2522,0.65366,0.65405,1,0.067,0.067,0.002,0
0.35,0.93169,1.165,0.21179,0.25207,0.25222,0.3,3.2514,3.2514,0.09506,0.094512,0,1,1.0733,1,4.236e-13,0,0.85249,3.2514,0.65287,0.65326,1,0.068,0.068,0.002,0
0.35,0.93374,1.165,0.21126,0.25175,0.25191,0.3,3.2507,3.2507,0.096153,0.095608,0,1,1.071,1,-4.2387e-13,0,0.85046,3.2507,0.6521,0.65248,1,0.069,0.069,0.002,0
0.35,0.93577,1.165,0.21073,0.25144,0.25159,0.3,3.2499,3.2499,0.09724,0.096698,0,1,1.0686,1,-5.661e-13,0,0.84845,3.2499,0.65132,0.65171,1,0.07,0.07,0.002,0
