Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,1.4193,0.0576,0.10296,0.17575,0.17585,0.3,315.67,315.67,0.32687,0.32659,-2.0367,1,0.70458,1,-7.7866e-13,0,0.49477,315.67,0.49738,0.49756,1,0.404,0.404,0.001,0
0.35,1.4241,0.0576,0.10196,0.1749,0.175,0.3,315.02,315.02,0.32918,0.32889,-2.0367,1,0.7022,1,-1.4308e-13,0,0.49188,315.02,0.49592,0.4961,1,0.408,0.408,0.001,0
0.35,1.4289,0.0576,0.10096,0.17403,0.17414,0.3,314.37,314.37,0.3315,0.33121,-2.0367,1,0.69984,1,4.6795e-14,0,0.48899,314.37,0.49447,0.49465,1,0.412,0.412,0.001,0
0.35,1.4337,0.0576,0.099939,0.17315,0.17326,0.3,313.7,313.7,0.33384,0.33355,-2.0367,1,0.6975,1,3.1664e-13,0,0.48611,313.7,0.49301,0.49319,1,0.416,0.416,0.001,0
0.35,1.4385,0.0576,0.098908,0.17226,0.17237,0.3,313.04,313.04,0.33619,0.3359,-2.0367,1,0.69518,1,-3.5532e-13,0,0.48324,313.04,0.49155,0.49173,1,0.42,0.42,0.001,0
0.35,1.4433,0.0576,0.097862,0.17134,0.17146,0.3,312.37,312.37,0.33857,0.33827,-2.0367,1,0.69286,1,6.6308e-13,0,0.48037,312.37,0.49009,0.49027,1,0.424,0.424,0.001,0
0.35,1.4481,0.0576,0.096799,0.17041,0.17053,0.3,311.69,311.69,0.34097,0.34067,-2.0367,1,0.69056,1,-5.2861e-13,0,0.4775,311.69,0.48862,0.4888,1,0.428,0.428,0.001,0
0.35,1.4529,0.0576,0.095716,0.16945,0.16957,0.3,311.01,311.01,0.3434,0.34309,-2.0367,1,0.68826,1,-1.7347e-15,0,0.47463,311.01,0.48715,0.48733,1,0.432,0.432,0.001,0
0.35,1.4578,0.0576,0.094611,0.16847,0.1686,0.3,310.33,310.33,0.34586,0.34555,-2.0367,1,0.68598,1,5.2411e-13,0,0.47175,310.33,0.48567,0.48585,1,0.436,0.436,0.001,0
0.35,1.4626,0.0576,0.09348,0.16746,0.16759,0.3,309.64,309.64,0.34836,0.34804,-2.0367,1,0.68369,1,-1.2654e-13,0,0.46886,309.64,0.48418,0.48437,1,0.44,0.44,0.001,0
