"K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.8186e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.489,0.025,0.489,0.05
2.7905e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.492,0.025,0.492,0.05
2.7624e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.495,0.025,0.495,0.05
2.7343e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.498,0.025,0.498,0.05
2.7067e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.501,0.025,0.501,0.05
2.68e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.504,0.025,0.504,0.05
2.6534e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.507,0.025,0.507,0.05
2.6268e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.51,0.025,0.51,0.05
2.6001e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.513,0.025,0.513,0.05
2.5735e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.516,0.025,0.516,0.05
2.5468e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.519,0.025,0.519,0.05
2.5202e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.522,0.025,0.522,0.05
2.4936e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.525,0.025,0.525,0.05
2.4669e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.528,0.025,0.528,0.05
2.4403e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.531,0.025,0.531,0.05
2.4136e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.534,0.025,0.534,0.05
2.387e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.537,0.025,0.537,0.05
2.3604e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.54,0.025,0.54,0.05
2.3337e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.543,0.025,0.543,0.05
2.3071e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.546,0.025,0.546,0.05
2.2804e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.549,0.025,0.549,0.05
2.2671e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.552,0.025,0.552,0.05
2.2605e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.555,0.025,0.555,0.05
2.2539e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.558,0.025,0.558,0.05
2.2473e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.561,0.025,0.561,0.05
2.2407e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.564,0.025,0.564,0.05
2.2341e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.567,0.025,0.567,0.05
2.2275e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.57,0.025,0.57,0.05
2.2209e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.573,0.025,0.573,0.05
