"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
1.4111e-05,2.9235e-16,0,0.21569,0.16504,0.21602,0.16346,0.61926,0.62052,1e-05,0.00022929,4256,20.914,4361.2,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.05872,0.01,0
1.4111e-05,2.9235e-16,0,0.21634,0.16188,0.21602,0.16346,0.62178,0.62052,1e-05,0.00023805,4094.5,21.148,4200.8,1.165,5.1116e+05,5.1116e+05,-12,0.25,5.1116e+05,0.06239,0.01,0
1.4111e-05,3.7492e-16,0,0.21636,0.16177,0.21666,0.1603,0.62187,0.62304,1e-05,0.00023837,4088.8,21.156,4195.1,1.165,5.1115e+05,5.1115e+05,-12,0.25,5.1115e+05,0.06239,0,0
1.4111e-05,3.7492e-16,0,0.21696,0.15883,0.21666,0.1603,0.62421,0.62304,1e-05,0.00024697,3941.8,21.374,4049,1.165,5.1115e+05,5.1115e+05,-12,0.25,5.1115e+05,0.06606,0,0
1.4111e-05,-1.8745e-16,0,0.21636,0.16177,0.21666,0.1603,0.62187,0.62304,1e-05,0.00023837,4088.8,21.156,4195.1,1.165,5.1115e+05,5.1115e+05,-12,0.25,5.1115e+05,0.06239,0.01,0
1.4111e-05,-1.8745e-16,0,0.21696,0.15883,0.21666,0.1603,0.62421,0.62304,1e-05,0.00024697,3941.8,21.374,4049,1.165,5.1115e+05,5.1115e+05,-12,0.25,5.1115e+05,0.06606,0.01,0
1.4111e-05,-4.517e-16,0,0.21698,0.15873,0.21726,0.15736,0.62429,0.62538,1e-05,0.00024727,3936.8,21.382,4044.1,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06606,0,0
1.4111e-05,-4.517e-16,0,0.21754,0.156,0.21726,0.15736,0.62646,0.62538,1e-05,0.00025572,3802.3,21.586,3910.5,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06973,0,0
1.4111e-05,6.3237e-16,0,0.21698,0.15873,0.21726,0.15736,0.62429,0.62538,1e-05,0.00024727,3936.8,21.382,4044.1,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06606,0.01,0
1.4111e-05,6.3237e-16,0,0.21754,0.156,0.21726,0.15736,0.62646,0.62538,1e-05,0.00025572,3802.3,21.586,3910.5,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06973,0.01,0
1.4111e-05,-3.4895e-16,0,0.21756,0.15591,0.21782,0.15463,0.62654,0.62755,1e-05,0.000256,3798,21.593,3906.3,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06973,0,0
1.4111e-05,-3.4895e-16,0,0.21808,0.15335,0.21782,0.15463,0.62857,0.62755,1e-05,0.00026431,3674.4,21.785,3783.5,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.0734,0,0
1.4111e-05,-3.4895e-16,0,0.21756,0.15591,0.21782,0.15463,0.62654,0.62755,1e-05,0.000256,3798,21.593,3906.3,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.06973,0.01,0
1.4111e-05,-3.4895e-16,0,0.21808,0.15335,0.21782,0.15463,0.62857,0.62755,1e-05,0.00026431,3674.4,21.785,3783.5,1.165,5.1114e+05,5.1114e+05,-12,0.25,5.1114e+05,0.0734,0.01,0
1.4111e-05,-5.9069e-16,0,0.2181,0.15327,0.21834,0.15207,0.62863,0.62959,1e-05,0.00026457,3670.6,21.791,3779.7,1.165,5.1113e+05,5.1113e+05,-12,0.25,5.1113e+05,0.0734,0,0
1.4111e-05,-5.9069e-16,0,0.21859,0.15087,0.21834,0.15207,0.63055,0.62959,1e-05,0.00027275,3556.5,21.973,3666.4,1.165,5.1113e+05,5.1113e+05,-12,0.25,5.1113e+05,0.07707,0,0
1.4111e-05,1.6877e-16,0,0.2181,0.15327,0.21834,0.15207,0.62863,0.62959,1e-05,0.00026457,3670.6,21.791,3779.7,1.165,5.1113e+05,5.1113e+05,-12,0.25,5.1113e+05,0.0734,0.01,0
1.4111e-05,1.6877e-16,0,0.21859,0.15087,0.21834,0.15207,0.63055,0.62959,1e-05,0.00027275,3556.5,21.973,3666.4,1.165,5.1113e+05,5.1113e+05,-12,0.25,5.1113e+05,0.07707,0.01,0
1.4111e-05,3.2699e-16,0,0.2186,0.1508,0.21883,0.14967,0.6306,0.6315,1e-05,0.00027299,3553.1,21.978,3663.1,1.165,5.1112e+05,5.1112e+05,-12,0.25,5.1112e+05,0.07707,0,0
1.4111e-05,3.2699e-16,0,0.21906,0.14854,0.21883,0.14967,0.6324,0.6315,1e-05,0.00028105,3447.4,22.15,3558.1,1.165,5.1112e+05,5.1112e+05,-12,0.25,5.1112e+05,0.08074,0,0
1.4111e-05,-1.635e-16,0,0.2186,0.1508,0.21883,0.14967,0.6306,0.6315,1e-05,0.00027299,3553.1,21.978,3663.1,1.165,5.1112e+05,5.1112e+05,-12,0.25,5.1112e+05,0.07707,0.01,0
1.4111e-05,-1.635e-16,0,0.21906,0.14854,0.21883,0.14967,0.6324,0.6315,1e-05,0.00028105,3447.4,22.15,3558.1,1.165,5.1112e+05,5.1112e+05,-12,0.25,5.1112e+05,0.08074,0.01,0
1.4111e-05,-7.9309e-17,0,0.21908,0.14847,0.21929,0.14741,0.63245,0.6333,1e-05,0.00028128,3444.4,22.155,3555.2,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08074,0,0
1.4111e-05,-7.9309e-17,0,0.21951,0.14634,0.21929,0.14741,0.63415,0.6333,1e-05,0.00028922,3346.1,22.317,3457.6,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08441,0,0
1.4111e-05,-7.9309e-17,0,0.21908,0.14847,0.21929,0.14741,0.63245,0.6333,1e-05,0.00028128,3444.4,22.155,3555.2,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08074,0.01,0
1.4111e-05,-7.9309e-17,0,0.21951,0.14634,0.21929,0.14741,0.63415,0.6333,1e-05,0.00028922,3346.1,22.317,3457.6,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08441,0.01,0
1.4111e-05,7.7041e-17,0,0.21952,0.14628,0.21973,0.14527,0.63419,0.635,1e-05,0.00028944,3343.5,22.322,3455,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08441,0,0
1.4111e-05,7.7041e-17,0,0.21994,0.14426,0.21973,0.14527,0.6358,0.635,1e-05,0.00029727,3251.8,22.476,3364,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08808,0,0
1.4111e-05,7.7041e-17,0,0.21952,0.14628,0.21973,0.14527,0.63419,0.635,1e-05,0.00028944,3343.5,22.322,3455,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08441,0.01,0
1.4111e-05,7.7041e-17,0,0.21994,0.14426,0.21973,0.14527,0.6358,0.635,1e-05,0.00029727,3251.8,22.476,3364,1.165,5.1111e+05,5.1111e+05,-12,0.25,5.1111e+05,0.08808,0.01,0
1.4111e-05,-7.4917e-16,0,0.21995,0.14421,0.22014,0.14325,0.63584,0.63661,1e-05,0.00029747,3249.4,22.48,3361.6,1.165,5.111e+05,5.111e+05,-12,0.25,5.111e+05,0.08808,0,0
1.4111e-05,-7.4917e-16,0,0.22034,0.14229,0.22014,0.14325,0.63737,0.63661,1e-05,0.0003052,3163.6,22.628,3276.5,1.165,5.111e+05,5.111e+05,-12,0.25,5.111e+05,0.09175,0,0
1.4111e-05,3.7459e-16,0,0.21995,0.14421,0.22014,0.14325,0.63584,0.63661,1e-05,0.00029747,3249.4,22.48,3361.6,1.165,5.111e+05,5.111e+05,-12,0.25,5.111e+05,0.08808,0.01,0
1.4111e-05,3.7459e-16,0,0.22034,0.14229,0.22014,0.14325,0.63737,0.63661,1e-05,0.0003052,3163.6,22.628,3276.5,1.165,5.111e+05,5.111e+05,-12,0.25,5.111e+05,0.09175,0.01,0
1.4111e-05,2.9174e-16,0,0.22035,0.14225,0.22054,0.14133,0.6374,0.63813,1e-05,0.0003054,3161.5,22.631,3274.4,1.165,5.1109e+05,5.1109e+05,-12,0.25,5.1109e+05,0.09175,0,0
1.4111e-05,2.9174e-16,0,0.22072,0.14042,0.22054,0.14133,0.63885,0.63813,1e-05,0.00031303,3081.1,22.772,3194.6,1.165,5.1109e+05,5.1109e+05,-12,0.25,5.1109e+05,0.09542,0,0
1.4111e-05,7.2932e-17,0,0.22035,0.14225,0.22054,0.14133,0.6374,0.63813,1e-05,0.0003054,3161.5,22.631,3274.4,1.165,5.1109e+05,5.1109e+05,-12,0.25,5.1109e+05,0.09175,0.01,0
1.4111e-05,7.2932e-17,0,0.22072,0.14042,0.22054,0.14133,0.63885,0.63813,1e-05,0.00031303,3081.1,22.772,3194.6,1.165,5.1109e+05,5.1109e+05,-12,0.25,5.1109e+05,0.09542,0.01,0
1.4111e-05,1.4214e-16,0,0.22073,0.14038,0.22091,0.13951,0.63889,0.63958,1e-05,0.00031322,3079.2,22.775,3192.7,1.165,5.1108e+05,5.1108e+05,-12,0.25,5.1108e+05,0.09542,0,0
1.4111e-05,1.4214e-16,0,0.22109,0.13865,0.22091,0.13951,0.64027,0.63958,1e-05,0.00032076,3003.5,22.91,3117.6,1.165,5.1108e+05,5.1108e+05,-12,0.25,5.1108e+05,0.09909,0,0
1.4111e-05,1.4214e-16,0,0.22073,0.14038,0.22091,0.13951,0.63889,0.63958,1e-05,0.00031322,3079.2,22.775,3192.7,1.165,5.1108e+05,5.1108e+05,-12,0.25,5.1108e+05,0.09542,0.01,0
1.4111e-05,1.4214e-16,0,0.22109,0.13865,0.22091,0.13951,0.64027,0.63958,1e-05,0.00032076,3003.5,22.91,3117.6,1.165,5.1108e+05,5.1108e+05,-12,0.25,5.1108e+05,0.09909,0.01,0
1.4111e-05,1.3865e-16,0,0.2211,0.13861,0.22127,0.13778,0.6403,0.64096,1e-05,0.00032093,3001.8,22.913,3115.9,1.165,5.1107e+05,5.1107e+05,-12,0.25,5.1107e+05,0.09909,0,0
1.4111e-05,1.3865e-16,0,0.22143,0.13695,0.22127,0.13778,0.64162,0.64096,1e-05,0.00032838,2930.5,23.041,3045.2,1.165,5.1107e+05,5.1107e+05,-12,0.25,5.1107e+05,0.10276,0,0
1.4111e-05,-4.8528e-16,0,0.2211,0.13861,0.22127,0.13778,0.6403,0.64096,1e-05,0.00032093,3001.8,22.913,3115.9,1.165,5.1107e+05,5.1107e+05,-12,0.25,5.1107e+05,0.09909,0.01,0
1.4111e-05,-4.8528e-16,0,0.22143,0.13695,0.22127,0.13778,0.64162,0.64096,1e-05,0.00032838,2930.5,23.041,3045.2,1.165,5.1107e+05,5.1107e+05,-12,0.25,5.1107e+05,0.10276,0.01,0
1.4111e-05,0,0,0.22144,0.13691,0.2216,0.13612,0.64164,0.64227,1e-05,0.00032855,2928.9,23.044,3043.7,1.165,5.1107e+05,5.1107e+05,-12,0.25,5.1107e+05,0.10276,0,0
