So,Sw,Sg,Cs,MRF,xD
0.206912,0.36789,0.425198,0.0487402,10.0,0.2032032032032032
0.20747,0.367513,0.425017,0.0485295,10.0,0.20420420420420418
0.20803,0.367134,0.424836,0.0482907,10.0,0.2052052052052052
0.20859,0.366755,0.424655,0.0480212,10.0,0.2062062062062062
0.209151,0.366374,0.424474,0.0477185,10.0,0.20720720720720723
0.209714,0.365993,0.424293,0.0473799,10.0,0.2082082082082082
0.210279,0.36561,0.424111,0.0470031,10.0,0.2092092092092092
0.210846,0.365226,0.423929,0.0465856,10.0,0.21021021021021022
0.211415,0.364839,0.423746,0.0461251,10.0,0.2112112112112112
0.211987,0.364451,0.423563,0.0456195,10.0,0.2122122122122122
0.212562,0.36406,0.423378,0.0450669,10.0,0.2132132132132132
0.213141,0.363666,0.423193,0.0444657,10.0,0.2142142142142142
0.213724,0.363269,0.423007,0.0438145,10.0,0.21521521521521522
0.214312,0.362869,0.422819,0.0431124,10.0,0.21621621621621623
0.214906,0.362465,0.422629,0.0423588,10.0,0.2172172172172172
0.215507,0.362055,0.422438,0.0415536,10.0,0.2182182182182182
0.216115,0.361641,0.422245,0.040697,10.0,0.21921921921921922
0.216731,0.36122,0.422049,0.0397899,10.0,0.2202202202202202
0.217358,0.360792,0.42185,0.0388336,10.0,0.2212212212212212
0.217996,0.360357,0.421648,0.0378299,10.0,0.2222222222222222
0.218647,0.359911,0.421441,0.036781,10.0,0.22322322322322322
0.219314,0.359455,0.421231,0.0356899,10.0,0.22422422422422422
0.219999,0.358987,0.421014,0.0345599,10.0,0.22522522522522523
0.220705,0.358503,0.420792,0.0333946,10.0,0.2262262262262262
0.221436,0.358002,0.420562,0.0321983,10.0,0.2272272272272272
0.222196,0.357481,0.420323,0.0309756,10.0,0.22822822822822822
0.222991,0.356935,0.420074,0.0297313,10.0,0.22922922922922923
0.223829,0.356359,0.419812,0.0284705,10.0,0.2302302302302302
0.224718,0.355748,0.419534,0.0271986,10.0,0.23123123123123124
0.225669,0.355093,0.419237,0.025921,10.0,0.23223223223223224
0.226699,0.354384,0.418917,0.0246431,10.0,0.23323323323323322
