"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99737,0.002303,1e-12,0.43298,0.29911,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2496e-08,0,0,4.6222e-09,0,0,0.25,0.26826,0.061943,0.044053,42142,1,0.17249,0.17249,0.005,0.005
0.99737,0.0023044,1e-12,0.43298,0.29911,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2517e-08,0,0,4.625e-09,0,0,0.25,0.26811,0.061947,0.044054,42140,1,0.17616,0.17616,0.005,0.005
0.99737,0.0023058,1e-12,0.43297,0.29912,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2537e-08,0,0,4.6275e-09,0,0,0.25,0.26796,0.06195,0.044054,42138,1,0.17983,0.17983,0.005,0.005
0.99736,0.0023071,1e-12,0.43296,0.29912,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2554e-08,0,0,4.6299e-09,0,0,0.25,0.26783,0.061953,0.044055,42136,1,0.1835,0.1835,0.005,0.005
0.99736,0.0023082,1e-12,0.43296,0.29913,0.26791,1.4111e-05,0,0,1.4074e-05,0,0,3.2571e-08,0,0,4.632e-09,0,0,0.25,0.26771,0.061956,0.044055,42134,1,0.18717,0.18717,0.005,0.005
0.99736,0.0023092,1e-12,0.43295,0.29913,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2585e-08,0,0,4.634e-09,0,0,0.25,0.2676,0.061958,0.044055,42132,1,0.19084,0.19084,0.005,0.005
0.99736,0.0023102,1e-12,0.43295,0.29913,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2599e-08,0,0,4.6357e-09,0,0,0.25,0.2675,0.06196,0.044056,42130,1,0.19451,0.19451,0.005,0.005
0.99736,0.002311,1e-12,0.43295,0.29914,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2611e-08,0,0,4.6374e-09,0,0,0.25,0.26741,0.061963,0.044056,42128,1,0.19818,0.19818,0.005,0.005
0.99736,0.0023118,1e-12,0.43294,0.29914,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2622e-08,0,0,4.6389e-09,0,0,0.25,0.26732,0.061964,0.044057,42126,1,0.20185,0.20185,0.005,0.005
0.99736,0.0023126,1e-12,0.43294,0.29914,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2633e-08,0,0,4.6403e-09,0,0,0.25,0.26724,0.061966,0.044057,42124,1,0.20552,0.20552,0.005,0.005
0.99736,0.0023134,1e-12,0.43293,0.29915,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2646e-08,0,0,4.6421e-09,0,0,0.25,0.26716,0.061968,0.044057,42122,1,0.20919,0.20919,0.005,0.005
0.99736,0.0023148,1e-12,0.43293,0.29915,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2673e-08,0,0,4.6457e-09,0,0,0.25,0.26701,0.061971,0.044058,42121,1,0.21286,0.21286,0.005,0.005
0.99735,0.0023189,1e-12,0.43291,0.29917,0.26792,1.4111e-05,0,0,1.4074e-05,0,0,3.2764e-08,0,0,4.6577e-09,0,0,0.25,0.26658,0.06198,0.044059,42119,1,0.21653,0.21653,0.005,0.005
0.99733,0.0023379,1e-12,0.43284,0.29923,0.26793,1.4111e-05,0,0,1.4073e-05,0,0,3.3191e-08,0,0,4.7145e-09,0,0,0.25,0.26457,0.062018,0.044063,42117,1,0.2202,0.2202,0.005,0.005
0.98682,0.011727,1e-12,0.4222,0.30878,0.26901,1.4111e-05,0,0,1.3981e-05,0,0,1.1694e-07,0,0,1.2765e-08,0,0,0.25,0.14868,0.06825,0.044636,42115,1,0.22387,0.22387,0.005,0.005
0.97215,0.025304,1e-12,0.38655,0.34167,0.27178,1.4111e-05,0,0,1.3782e-05,0,0,3.009e-07,0,0,2.8476e-08,0,0,0.25,0.03523,0.092114,0.046111,42106,1,0.22754,0.22754,0.005,0.005
0.96573,0.031687,1e-12,0.35491,0.37148,0.27361,1.4111e-05,0,0,1.3641e-05,0,0,4.338e-07,0,0,3.6462e-08,0,0,0.25,0.035172,0.11523,0.047093,42092,1,0.23121,0.23121,0.005,0.005
0.96217,0.035154,1e-12,0.34462,0.38153,0.27385,1.4111e-05,0,0,1.3585e-05,0,0,4.8848e-07,0,0,3.7464e-08,0,0,0.25,0.033916,0.12386,0.047223,42078,1,0.23488,0.23488,0.005,0.005
0.96,0.037267,1e-12,0.33867,0.38733,0.274,1.4111e-05,0,0,1.3549e-05,0,0,5.2341e-07,0,0,3.8505e-08,0,0,0.25,0.033236,0.129,0.047308,42063,1,0.23855,0.23855,0.005,0.005
0.95852,0.038711,1e-12,0.33484,0.39107,0.2741,1.4111e-05,0,0,1.3527e-05,0,0,5.4509e-07,0,0,3.9054e-08,0,0,0.25,0.03278,0.13238,0.047359,42048,1,0.24222,0.24222,0.005,0.005
0.95736,0.039841,1e-12,0.33194,0.39389,0.27417,1.4111e-05,0,0,1.351e-05,0,0,5.6157e-07,0,0,3.9471e-08,0,0,0.25,0.032433,0.13496,0.047398,42033,1,0.24589,0.24589,0.005,0.005
0.95638,0.040802,1e-12,0.32953,0.39624,0.27423,1.4111e-05,0,0,1.3496e-05,0,0,5.7539e-07,0,0,3.982e-08,0,0,0.25,0.032143,0.13713,0.047431,42017,1,0.24956,0.24956,0.005,0.005
0.95549,0.041666,1e-12,0.32741,0.39831,0.27428,1.4111e-05,0,0,1.3483e-05,0,0,5.8772e-07,0,0,4.0129e-08,0,0,0.25,0.031887,0.13904,0.047459,42002,1,0.25323,0.25323,0.005,0.005
0.95467,0.042469,1e-12,0.32548,0.40019,0.27433,1.4111e-05,0,0,1.3471e-05,0,0,5.9912e-07,0,0,4.0415e-08,0,0,0.25,0.031652,0.14081,0.047485,41986,1,0.2569,0.2569,0.005,0.005
0.95389,0.043232,1e-12,0.32368,0.40195,0.27437,1.4111e-05,0,0,1.346e-05,0,0,6.0993e-07,0,0,4.0685e-08,0,0,0.25,0.031433,0.14246,0.047509,41971,1,0.26057,0.26057,0.005,0.005
0.95313,0.043966,1e-12,0.32198,0.40361,0.27441,1.4111e-05,0,0,1.345e-05,0,0,6.2032e-07,0,0,4.0944e-08,0,0,0.25,0.031225,0.14403,0.047531,41955,1,0.26424,0.26424,0.005,0.005
0.9524,0.04468,1e-12,0.32034,0.4052,0.27445,1.4111e-05,0,0,1.3439e-05,0,0,6.3042e-07,0,0,4.1195e-08,0,0,0.25,0.031025,0.14555,0.047553,41939,1,0.26791,0.26791,0.005,0.005
0.95168,0.045379,1e-12,0.31877,0.40674,0.27449,1.4111e-05,0,0,1.3429e-05,0,0,6.4029e-07,0,0,4.1441e-08,0,0,0.25,0.030832,0.14702,0.047573,41923,1,0.27158,0.27158,0.005,0.005
0.95098,0.046066,1e-12,0.31725,0.40823,0.27453,1.4111e-05,0,0,1.3419e-05,0,0,6.5e-07,0,0,4.1681e-08,0,0,0.25,0.030645,0.14844,0.047593,41907,1,0.27525,0.27525,0.005,0.005
0.95029,0.046744,1e-12,0.31576,0.40967,0.27456,1.4111e-05,0,0,1.341e-05,0,0,6.5957e-07,0,0,4.1917e-08,0,0,0.25,0.030462,0.14984,0.047613,41891,1,0.27892,0.27892,0.005,0.005
0.9496,0.047414,1e-12,0.31432,0.41108,0.2746,1.4111e-05,0,0,1.34e-05,0,0,6.6903e-07,0,0,4.2151e-08,0,0,0.25,0.030284,0.15121,0.047632,41875,1,0.28259,0.28259,0.005,0.005
0.94892,0.048078,1e-12,0.31291,0.41246,0.27463,1.4111e-05,0,0,1.339e-05,0,0,6.7839e-07,0,0,4.2381e-08,0,0,0.25,0.030109,0.15255,0.04765,41859,1,0.28626,0.28626,0.005,0.005
0.94824,0.048736,1e-12,0.31153,0.41381,0.27466,1.4111e-05,0,0,1.3381e-05,0,0,6.8768e-07,0,0,4.261e-08,0,0,0.25,0.029938,0.15387,0.047668,41842,1,0.28993,0.28993,0.005,0.005
0.94758,0.049389,1e-12,0.31018,0.41513,0.2747,1.4111e-05,0,0,1.3371e-05,0,0,6.9691e-07,0,0,4.2836e-08,0,0,0.25,0.02977,0.15516,0.047686,41826,1,0.2936,0.2936,0.005,0.005
0.94691,0.050038,1e-12,0.30885,0.41642,0.27473,1.4111e-05,0,0,1.3362e-05,0,0,7.0607e-07,0,0,4.306e-08,0,0,0.25,0.029605,0.15644,0.047703,41809,1,0.29727,0.29727,0.005,0.005
0.94625,0.050684,1e-12,0.30755,0.41769,0.27476,1.4111e-05,0,0,1.3353e-05,0,0,7.1518e-07,0,0,4.3283e-08,0,0,0.25,0.029443,0.1577,0.04772,41793,1,0.30094,0.30094,0.005,0.005
0.94559,0.051326,1e-12,0.30627,0.41894,0.27479,1.4111e-05,0,0,1.3343e-05,0,0,7.2424e-07,0,0,4.3504e-08,0,0,0.25,0.029283,0.15894,0.047737,41776,1,0.30461,0.30461,0.005,0.005
0.94494,0.051965,1e-12,0.30501,0.42017,0.27482,1.4111e-05,0,0,1.3334e-05,0,0,7.3326e-07,0,0,4.3723e-08,0,0,0.25,0.029126,0.16017,0.047753,41759,1,0.30828,0.30828,0.005,0.005
0.94428,0.052601,1e-12,0.30377,0.42138,0.27485,1.4111e-05,0,0,1.3325e-05,0,0,7.4224e-07,0,0,4.3941e-08,0,0,0.25,0.028971,0.16138,0.047769,41742,1,0.31195,0.31195,0.005,0.005
0.94364,0.053235,1e-12,0.30256,0.42256,0.27488,1.4111e-05,0,0,1.3316e-05,0,0,7.5118e-07,0,0,4.4158e-08,0,0,0.25,0.028818,0.16258,0.047785,41725,1,0.31562,0.31562,0.005,0.005
0.94299,0.053866,1e-12,0.30136,0.42374,0.27491,1.4111e-05,0,0,1.3307e-05,0,0,7.6009e-07,0,0,4.4374e-08,0,0,0.25,0.028668,0.16376,0.047801,41708,1,0.31929,0.31929,0.005,0.005
0.94234,0.054495,1e-12,0.30018,0.42489,0.27493,1.4111e-05,0,0,1.3297e-05,0,0,7.6897e-07,0,0,4.4589e-08,0,0,0.25,0.028519,0.16492,0.047816,41691,1,0.32296,0.32296,0.005,0.005
0.9417,0.055122,1e-12,0.29902,0.42602,0.27496,1.4111e-05,0,0,1.3288e-05,0,0,7.7781e-07,0,0,4.4802e-08,0,0,0.25,0.028373,0.16608,0.047831,41674,1,0.32663,0.32663,0.005,0.005
0.94106,0.055747,1e-12,0.29787,0.42714,0.27499,1.4111e-05,0,0,1.3279e-05,0,0,7.8663e-07,0,0,4.5015e-08,0,0,0.25,0.028229,0.16722,0.047845,41657,1,0.3303,0.3303,0.005,0.005
0.94043,0.056369,1e-12,0.29674,0.42824,0.27502,1.4111e-05,0,0,1.327e-05,0,0,7.9541e-07,0,0,4.5226e-08,0,0,0.25,0.028086,0.16835,0.04786,41640,1,0.33397,0.33397,0.005,0.005
0.93979,0.05699,1e-12,0.29563,0.42933,0.27504,1.4111e-05,0,0,1.3261e-05,0,0,8.0418e-07,0,0,4.5437e-08,0,0,0.25,0.027946,0.16946,0.047874,41622,1,0.33764,0.33764,0.005,0.005
0.93916,0.057609,1e-12,0.29453,0.4304,0.27507,1.4111e-05,0,0,1.3252e-05,0,0,8.1291e-07,0,0,4.5646e-08,0,0,0.25,0.027807,0.17057,0.047888,41605,1,0.34131,0.34131,0.005,0.005
0.93852,0.058227,1e-12,0.29345,0.43146,0.27509,1.4111e-05,0,0,1.3244e-05,0,0,8.2162e-07,0,0,4.5855e-08,0,0,0.25,0.027669,0.17166,0.047902,41587,1,0.34498,0.34498,0.005,0.005
0.93789,0.058842,1e-12,0.29238,0.4325,0.27512,1.4111e-05,0,0,1.3235e-05,0,0,8.3031e-07,0,0,4.6063e-08,0,0,0.25,0.027534,0.17274,0.047916,41570,1,0.34865,0.34865,0.005,0.005
0.93726,0.059457,1e-12,0.29133,0.43353,0.27514,1.4111e-05,0,0,1.3226e-05,0,0,8.3898e-07,0,0,4.6269e-08,0,0,0.25,0.0274,0.17382,0.047929,41552,1,0.35232,0.35232,0.005,0.005
0.93664,0.060069,1e-12,0.29029,0.43454,0.27517,1.4111e-05,0,0,1.3217e-05,0,0,8.4762e-07,0,0,4.6475e-08,0,0,0.25,0.027268,0.17488,0.047942,41534,1,0.35599,0.35599,0.005,0.005
0.93601,0.06068,1e-12,0.28926,0.43555,0.27519,1.4111e-05,0,0,1.3208e-05,0,0,8.5624e-07,0,0,4.6681e-08,0,0,0.25,0.027137,0.17593,0.047955,41516,1,0.35966,0.35966,0.005,0.005
0.93539,0.06129,1e-12,0.28825,0.43654,0.27521,1.4111e-05,0,0,1.3199e-05,0,0,8.6484e-07,0,0,4.6885e-08,0,0,0.25,0.027008,0.17696,0.047968,41499,1,0.36333,0.36333,0.005,0.005
0.93477,0.061898,1e-12,0.28725,0.43751,0.27524,1.4111e-05,0,0,1.319e-05,0,0,8.7342e-07,0,0,4.7089e-08,0,0,0.25,0.026881,0.17799,0.047981,41481,1,0.367,0.367,0.005,0.005
0.93414,0.062504,1e-12,0.28626,0.43848,0.27526,1.4111e-05,0,0,1.3182e-05,0,0,8.8198e-07,0,0,4.7292e-08,0,0,0.25,0.026755,0.17902,0.047993,41463,1,0.37067,0.37067,0.005,0.005
0.93352,0.063109,1e-12,0.28528,0.43944,0.27528,1.4111e-05,0,0,1.3173e-05,0,0,8.9052e-07,0,0,4.7494e-08,0,0,0.25,0.02663,0.18003,0.048006,41444,1,0.37434,0.37434,0.005,0.005
0.93291,0.063713,1e-12,0.28432,0.44038,0.2753,1.4111e-05,0,0,1.3164e-05,0,0,8.9904e-07,0,0,4.7695e-08,0,0,0.25,0.026507,0.18103,0.048018,41426,1,0.37801,0.37801,0.005,0.005
0.93229,0.064316,1e-12,0.28337,0.44131,0.27533,1.4111e-05,0,0,1.3156e-05,0,0,9.0754e-07,0,0,4.7896e-08,0,0,0.25,0.026385,0.18202,0.04803,41408,1,0.38168,0.38168,0.005,0.005
0.93167,0.064917,1e-12,0.28242,0.44223,0.27535,1.4111e-05,0,0,1.3147e-05,0,0,9.1603e-07,0,0,4.8096e-08,0,0,0.25,0.026264,0.183,0.048042,41390,1,0.38535,0.38535,0.005,0.005
0.93106,0.065517,1e-12,0.28149,0.44314,0.27537,1.4111e-05,0,0,1.3138e-05,0,0,9.245e-07,0,0,4.8295e-08,0,0,0.25,0.026145,0.18398,0.048054,41371,1,0.38902,0.38902,0.005,0.005
0.93045,0.066116,1e-12,0.28057,0.44404,0.27539,1.4111e-05,0,0,1.313e-05,0,0,9.3294e-07,0,0,4.8494e-08,0,0,0.25,0.026027,0.18494,0.048065,41353,1,0.39269,0.39269,0.005,0.005
0.92984,0.066713,1e-12,0.27966,0.44493,0.27541,1.4111e-05,0,0,1.3121e-05,0,0,9.4138e-07,0,0,4.8691e-08,0,0,0.25,0.025911,0.1859,0.048077,41334,1,0.39636,0.39636,0.005,0.005
0.92923,0.067309,1e-12,0.27876,0.44581,0.27543,1.4111e-05,0,0,1.3112e-05,0,0,9.4979e-07,0,0,4.8889e-08,0,0,0.25,0.025795,0.18685,0.048088,41316,1,0.40003,0.40003,0.005,0.005
0.92862,0.067904,1e-12,0.27787,0.44667,0.27545,1.4111e-05,0,0,1.3104e-05,0,0,9.5819e-07,0,0,4.9085e-08,0,0,0.25,0.025681,0.18779,0.048099,41297,1,0.4037,0.4037,0.005,0.005
0.92801,0.068498,1e-12,0.27699,0.44753,0.27547,1.4111e-05,0,0,1.3095e-05,0,0,9.6657e-07,0,0,4.9281e-08,0,0,0.25,0.025568,0.18872,0.04811,41278,1,0.40737,0.40737,0.005,0.005
