So,Sw,Sg,Cs,MRF,xD
0.466973,0.22323,0.309797,3.56904e-05,1.0,0.28228228228228225
0.46697,0.223225,0.309805,3.14785e-05,1.0,0.2832832832832833
0.466956,0.223214,0.30983,2.79176e-05,1.0,0.28428428428428426
0.466936,0.223198,0.309865,2.48932e-05,1.0,0.28528528528528524
0.466917,0.223183,0.3099,2.23112e-05,1.0,0.2862862862862863
0.466903,0.22317,0.309927,2.00945e-05,1.0,0.28728728728728725
0.466896,0.223162,0.309943,1.818e-05,1.0,0.28828828828828823
0.466896,0.223158,0.309946,1.65164e-05,1.0,0.2892892892892893
0.466903,0.223158,0.309938,1.50617e-05,1.0,0.2902902902902903
0.466914,0.223161,0.309925,1.37819e-05,1.0,0.2912912912912913
0.466927,0.223164,0.309909,1.2649e-05,1.0,0.2922922922922923
0.466938,0.223167,0.309894,1.16404e-05,1.0,0.2932932932932933
0.466947,0.223169,0.309884,1.07375e-05,1.0,0.29429429429429427
0.466952,0.223168,0.30988,9.92504e-06,1.0,0.2952952952952953
0.466954,0.223165,0.309881,9.19062e-06,1.0,0.2962962962962963
0.466953,0.22316,0.309887,8.5239e-06,1.0,0.2972972972972973
0.46695,0.223155,0.309895,7.91632e-06,1.0,0.2982982982982983
0.466946,0.22315,0.309904,7.36075e-06,1.0,0.29929929929929927
0.466943,0.223146,0.309911,6.85123e-06,1.0,0.3003003003003003
0.466942,0.223142,0.309916,6.3827e-06,1.0,0.3013013013013013
0.466941,0.22314,0.309919,5.95088e-06,1.0,0.30230230230230226
0.466942,0.223138,0.30992,5.5521e-06,1.0,0.3033033033033033
0.466944,0.223138,0.309918,5.1832e-06,1.0,0.3043043043043043
0.466946,0.223137,0.309916,4.84142e-06,1.0,0.3053053053053053
0.466948,0.223137,0.309914,4.52437e-06,1.0,0.30630630630630634
0.46695,0.223137,0.309913,4.22992e-06,1.0,0.3073073073073073
0.466951,0.223137,0.309912,3.9562e-06,1.0,0.3083083083083083
0.466952,0.223136,0.309912,3.70152e-06,1.0,0.30930930930930933
0.466952,0.223135,0.309913,3.4644e-06,1.0,0.3103103103103103
0.466953,0.223133,0.309914,3.24347e-06,1.0,0.3113113113113113
0.466953,0.223132,0.309915,3.0375e-06,1.0,0.3123123123123123
0.466953,0.223131,0.309916,2.84538e-06,1.0,0.3133133133133133
0.466954,0.22313,0.309916,2.6661e-06,1.0,0.3143143143143143
0.466956,0.223129,0.309915,2.49872e-06,1.0,0.3153153153153153
0.466958,0.223128,0.309914,2.34239e-06,1.0,0.3163163163163163
0.466961,0.223128,0.309912,2.19633e-06,1.0,0.31731731731731727
0.466963,0.223127,0.30991,2.05981e-06,1.0,0.3183183183183183
0.466966,0.223126,0.309908,1.93217e-06,1.0,0.3193193193193193
0.466969,0.223125,0.309906,1.8128e-06,1.0,0.32032032032032026
0.466971,0.223124,0.309905,1.70113e-06,1.0,0.32132132132132135
0.466974,0.223123,0.309904,1.59663e-06,1.0,0.32232232232232233
0.466976,0.223121,0.309903,1.49882e-06,1.0,0.3233233233233233
0.466978,0.223119,0.309903,1.40725e-06,1.0,0.32432432432432434
0.46698,0.223117,0.309903,1.32149e-06,1.0,0.3253253253253253
0.466982,0.223115,0.309903,1.24117e-06,1.0,0.3263263263263263
0.466984,0.223112,0.309903,1.16591e-06,1.0,0.32732732732732733
0.466986,0.22311,0.309903,1.09539e-06,1.0,0.3283283283283283
0.466989,0.223108,0.309904,1.0293e-06,1.0,0.3293293293293293
0.466991,0.223105,0.309904,9.67331e-07,1.0,0.3303303303303303
0.466993,0.223103,0.309904,9.09229e-07,1.0,0.3313313313313313
0.466994,0.223101,0.309905,8.54737e-07,1.0,0.3323323323323323
0.466996,0.223098,0.309906,8.03624e-07,1.0,0.3333333333333333
0.466998,0.223096,0.309906,7.55669e-07,1.0,0.3343343343343343
0.467,0.223093,0.309907,7.1067e-07,1.0,0.3353353353353353
