Time,"Fa","Fb","Fc","Foil","Fshear","K","Nca","Sa","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.9288,1e-08,0.8,0.068121,0.068121,0,0,0,0,0.068121,0.068121,0,1.1657e-17,1.0131e-17,0,1,0,1,2.2205e-16,1.7929e+13,1,8.2024,5.8,5.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.878,1e-08,0.8,0.066983,0.066983,0,0,0,0,0.066983,0.066983,0,1.1068e-17,9.3849e-18,0,1,0,1,2.2205e-16,1.7792e+13,1,8.3439,5.9,5.9,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.8286,1e-08,0.8,0.065889,0.065889,0,0,0,0,0.065889,0.065889,0,1.0408e-17,8.6736e-18,0,1,0,1,2.2205e-16,1.7657e+13,1,8.4853,6,6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.7844,1e-08,0.8,0.064833,0.064833,0,0,0,0,0.064833,0.064833,0,1.0252e-17,8.8471e-18,0,1,0,1,2.2205e-16,1.7524e+13,1,8.6267,6.1,6.1,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.7412,1e-08,0.8,0.063804,0.063804,0,0,0,0,0.063804,0.063804,0,1.0131e-17,9.0206e-18,0,1,0,1,2.2205e-16,1.7393e+13,1,8.7681,6.2,6.2,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.6989,1e-08,0.8,0.062802,0.062802,0,0,0,0,0.062802,0.062802,0,1.0044e-17,9.194e-18,0,1,0,1,2.2205e-16,1.7265e+13,1,8.9095,6.3,6.3,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.6574,1e-08,0.8,0.061829,0.061829,0,0,0,0,0.061829,0.061829,0,9.992e-18,9.3675e-18,0,1,0,1,2.2205e-16,1.7138e+13,1,9.051,6.4,6.4,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.6169,1e-08,0.8,0.060883,0.060883,0,0,0,0,0.060883,0.060883,0,9.9747e-18,9.541e-18,0,1,0,1,2.2205e-16,1.7013e+13,1,9.1924,6.5,6.5,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.5772,1e-08,0.8,0.059966,0.059966,0,0,0,0,0.059966,0.059966,0,9.992e-18,9.7145e-18,0,1,0,1,2.2205e-16,1.689e+13,1,9.3338,6.6,6.6,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.5384,1e-08,0.8,0.059076,0.059076,0,0,0,0,0.059076,0.059076,0,1.0044e-17,9.8879e-18,0,1,0,1,2.2205e-16,1.6768e+13,1,9.4752,6.7,6.7,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.5006,1e-08,0.8,0.058213,0.058213,0,0,0,0,0.058213,0.058213,0,1.0131e-17,1.0061e-17,0,1,0,1,2.2205e-16,1.6649e+13,1,9.6167,6.8,6.8,10
10000,0,1,2.2205e-16,1,1,9.8692e-14,2.4636,1e-08,0.8,0.057379,0.057379,0,0,0,0,0.057379,0.057379,0,1.0252e-17,1.0235e-17,0,1,0,1,2.2205e-16,1.6531e+13,1,9.7581,6.9,6.9,10
