Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
80,1.4111e-05,1.2239e-21,0,0.3636,0.52256,0.36411,0.52159,0.11384,0.1143,0.016017,0.0073927,26.638,108.57,135.27,1.165,2.5335e+05,2.5335e+05,-12,0.25,2.5335e+05,0.06973,0.01,0
80,1.4111e-05,1.2239e-21,0,0.36462,0.52062,0.36411,0.52159,0.11476,0.1143,0.016017,0.0073571,26.441,109.41,135.92,1.165,2.5335e+05,2.5335e+05,-12,0.25,2.5335e+05,0.0734,0.01,0
80,1.4111e-05,-9.5088e-19,0,0.36464,0.52058,0.36518,0.51957,0.11477,0.11525,0.015773,0.0073342,26.847,109.43,136.35,1.165,2.5303e+05,2.5303e+05,-12,0.25,2.5303e+05,0.0734,0,0
80,1.4111e-05,-9.5088e-19,0,0.36571,0.51856,0.36518,0.51957,0.11573,0.11525,0.015773,0.0072975,26.639,110.32,137.03,1.165,2.5303e+05,2.5303e+05,-12,0.25,2.5303e+05,0.07707,0,0
80,1.4111e-05,-9.5088e-19,0,0.36464,0.52058,0.36518,0.51957,0.11477,0.11525,0.015773,0.0073342,26.847,109.43,136.35,1.165,2.5303e+05,2.5303e+05,-12,0.25,2.5303e+05,0.0734,0.01,0
80,1.4111e-05,-9.5088e-19,0,0.36571,0.51856,0.36518,0.51957,0.11573,0.11525,0.015773,0.0072975,26.639,110.32,137.03,1.165,2.5303e+05,2.5303e+05,-12,0.25,2.5303e+05,0.07707,0.01,0
80,1.4111e-05,-4.8957e-21,0,0.36574,0.51852,0.3663,0.51746,0.11574,0.11624,0.015521,0.0072737,27.066,110.34,137.48,1.165,2.5271e+05,2.5271e+05,-12,0.25,2.5271e+05,0.07707,0,0
80,1.4111e-05,-4.8957e-21,0,0.36686,0.51641,0.3663,0.51746,0.11673,0.11624,0.015521,0.0072357,26.847,111.27,138.2,1.165,2.5271e+05,2.5271e+05,-12,0.25,2.5271e+05,0.08074,0,0
80,1.4111e-05,-4.8957e-21,0,0.36574,0.51852,0.3663,0.51746,0.11574,0.11624,0.015521,0.0072737,27.066,110.34,137.48,1.165,2.5271e+05,2.5271e+05,-12,0.25,2.5271e+05,0.07707,0.01,0
80,1.4111e-05,-4.8957e-21,0,0.36686,0.51641,0.3663,0.51746,0.11673,0.11624,0.015521,0.0072357,26.847,111.27,138.2,1.165,2.5271e+05,2.5271e+05,-12,0.25,2.5271e+05,0.08074,0.01,0
80,1.4111e-05,-9.6957e-19,0,0.36689,0.51636,0.36748,0.51525,0.11676,0.11727,0.015261,0.0072108,27.299,111.29,138.68,1.165,2.524e+05,2.524e+05,-12,0.25,2.524e+05,0.08074,0,0
80,1.4111e-05,-9.6957e-19,0,0.36806,0.51415,0.36748,0.51525,0.11779,0.11727,0.015261,0.0071714,27.066,112.28,139.44,1.165,2.524e+05,2.524e+05,-12,0.25,2.524e+05,0.08441,0,0
80,1.4111e-05,-9.6957e-19,0,0.36689,0.51636,0.36748,0.51525,0.11676,0.11727,0.015261,0.0072108,27.299,111.29,138.68,1.165,2.524e+05,2.524e+05,-12,0.25,2.524e+05,0.08074,0.01,0
80,1.4111e-05,-9.6957e-19,0,0.36806,0.51415,0.36748,0.51525,0.11779,0.11727,0.015261,0.0071714,27.066,112.28,139.44,1.165,2.524e+05,2.524e+05,-12,0.25,2.524e+05,0.08441,0.01,0
80,1.4111e-05,-3.8991e-18,0,0.3681,0.51409,0.36872,0.51292,0.11781,0.11836,0.014991,0.0071452,27.546,112.31,139.95,1.165,2.5209e+05,2.5209e+05,-12,0.25,2.5209e+05,0.08441,0,0
80,1.4111e-05,-3.8991e-18,0,0.36935,0.51175,0.36872,0.51292,0.1189,0.11836,0.014991,0.0071041,27.297,113.36,140.76,1.165,2.5209e+05,2.5209e+05,-12,0.25,2.5209e+05,0.08808,0,0
80,1.4111e-05,1.9569e-18,0,0.3681,0.51409,0.36872,0.51292,0.11781,0.11836,0.014991,0.0071452,27.546,112.31,139.95,1.165,2.5209e+05,2.5209e+05,-12,0.25,2.5209e+05,0.08441,0.01,0
80,1.4111e-05,1.9569e-18,0,0.36935,0.51175,0.36872,0.51292,0.1189,0.11836,0.014991,0.0071041,27.297,113.36,140.76,1.165,2.5209e+05,2.5209e+05,-12,0.25,2.5209e+05,0.08808,0.01,0
80,1.4111e-05,-8.867e-18,0,0.36939,0.51168,0.37005,0.51044,0.11893,0.1195,0.014709,0.0070764,27.813,113.39,141.32,1.165,2.5178e+05,2.5178e+05,-12,0.25,2.5178e+05,0.08808,0,0
80,1.4111e-05,-8.867e-18,0,0.37072,0.5092,0.37005,0.51044,0.12008,0.1195,0.014709,0.0070332,27.544,114.51,142.18,1.165,2.5178e+05,2.5178e+05,-12,0.25,2.5178e+05,0.09175,0,0
80,1.4111e-05,8.8719e-18,0,0.36939,0.51168,0.37005,0.51044,0.11893,0.1195,0.014709,0.0070764,27.813,113.39,141.32,1.165,2.5178e+05,2.5178e+05,-12,0.25,2.5178e+05,0.08808,0.01,0
80,1.4111e-05,8.8719e-18,0,0.37072,0.5092,0.37005,0.51044,0.12008,0.1195,0.014709,0.0070332,27.544,114.51,142.18,1.165,2.5178e+05,2.5178e+05,-12,0.25,2.5178e+05,0.09175,0.01,0
80,1.4111e-05,-2.9898e-18,0,0.37077,0.50911,0.37148,0.50778,0.12012,0.12073,0.014411,0.0070035,28.103,114.56,142.79,1.165,2.5148e+05,2.5148e+05,-12,0.25,2.5148e+05,0.09175,0,0
80,1.4111e-05,-2.9898e-18,0,0.3722,0.50646,0.37148,0.50778,0.12134,0.12073,0.014411,0.0069579,27.81,115.77,143.72,1.165,2.5148e+05,2.5148e+05,-12,0.25,2.5148e+05,0.09542,0,0
80,1.4111e-05,2.9849e-18,0,0.37077,0.50911,0.37148,0.50778,0.12012,0.12073,0.014411,0.0070035,28.103,114.56,142.79,1.165,2.5148e+05,2.5148e+05,-12,0.25,2.5148e+05,0.09175,0.01,0
80,1.4111e-05,2.9849e-18,0,0.3722,0.50646,0.37148,0.50778,0.12134,0.12073,0.014411,0.0069579,27.81,115.77,143.72,1.165,2.5148e+05,2.5148e+05,-12,0.25,2.5148e+05,0.09542,0.01,0
80,1.4111e-05,-8.0616e-18,0,0.37226,0.50634,0.37304,0.50489,0.1214,0.12206,0.014093,0.0069255,28.425,115.82,144.39,1.165,2.5118e+05,2.5118e+05,-12,0.25,2.5118e+05,0.09542,0,0
80,1.4111e-05,-8.0616e-18,0,0.37382,0.50345,0.37304,0.50489,0.12273,0.12206,0.014093,0.0068767,28.102,117.16,145.42,1.165,2.5118e+05,2.5118e+05,-12,0.25,2.5118e+05,0.09909,0,0
80,1.4111e-05,4.0234e-18,0,0.37226,0.50634,0.37304,0.50489,0.1214,0.12206,0.014093,0.0069255,28.425,115.82,144.39,1.165,2.5118e+05,2.5118e+05,-12,0.25,2.5118e+05,0.09542,0.01,0
80,1.4111e-05,4.0234e-18,0,0.37382,0.50345,0.37304,0.50489,0.12273,0.12206,0.014093,0.0068767,28.102,117.16,145.42,1.165,2.5118e+05,2.5118e+05,-12,0.25,2.5118e+05,0.09909,0.01,0
80,1.4111e-05,4.0815e-18,0,0.37391,0.50329,0.37478,0.50168,0.1228,0.12354,0.013745,0.0068405,28.794,117.23,146.19,1.165,2.5088e+05,2.5088e+05,-12,0.25,2.5088e+05,0.09909,0,0
80,1.4111e-05,4.0815e-18,0,0.37565,0.50008,0.37478,0.50168,0.12427,0.12354,0.013745,0.0067873,28.427,118.72,147.33,1.165,2.5088e+05,2.5088e+05,-12,0.25,2.5088e+05,0.10276,0,0
80,1.4111e-05,-5.0964e-18,0,0.37391,0.50329,0.37478,0.50168,0.1228,0.12354,0.013745,0.0068405,28.794,117.23,146.19,1.165,2.5088e+05,2.5088e+05,-12,0.25,2.5088e+05,0.09909,0.01,0
80,1.4111e-05,-5.0964e-18,0,0.37565,0.50008,0.37478,0.50168,0.12427,0.12354,0.013745,0.0067873,28.427,118.72,147.33,1.165,2.5088e+05,2.5088e+05,-12,0.25,2.5088e+05,0.10276,0.01,0
